Date,Campus,Block,Count,Recorded by,Source,When entered
2026-02-26,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 120,
2026-02-27,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 120,
2026-03-02,Fayetteville,7:30 AM - Noon,25,,LimeSurvey 128,
2026-03-02,Fayetteville,Noon - 4:30 PM,12,,LimeSurvey 128,
2026-03-03,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 128,
2026-03-03,Fayetteville,Noon - 4:30 PM,16,,LimeSurvey 128,
2026-03-04,Fayetteville,7:30 AM - Noon,15,,LimeSurvey 128,
2026-03-04,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 128,
2026-03-05,Fayetteville,7:30 AM - Noon,21,,LimeSurvey 128,
2026-03-05,Fayetteville,Noon - 4:30 PM,20,,LimeSurvey 128,
2026-03-06,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 128,
2026-03-09,Fayetteville,7:30 AM - Noon,3,,LimeSurvey 130,
2026-03-09,Fayetteville,Noon - 4:30 PM,3,,LimeSurvey 130,
2026-03-10,Fayetteville,7:30 AM - Noon,7,,LimeSurvey 130,
2026-03-10,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 130,
2026-03-11,Fayetteville,7:30 AM - Noon,6,,LimeSurvey 130,
2026-03-11,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 130,
2026-03-12,Fayetteville,7:30 AM - Noon,9,,LimeSurvey 130,
2026-03-12,Fayetteville,Noon - 4:30 PM,4,,LimeSurvey 130,
2026-03-13,Fayetteville,Noon - 4:30 PM,7,,LimeSurvey 130,
2026-03-16,Fayetteville,Noon - 4:30 PM,27,,LimeSurvey 136,
2026-03-17,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 136,
2026-03-17,Fayetteville,Noon - 4:30 PM,52,,LimeSurvey 136,
2026-03-18,Fayetteville,7:30 AM - Noon,22,,LimeSurvey 136,
2026-03-18,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 136,
2026-03-19,Fayetteville,7:30 AM - Noon,16,,LimeSurvey 136,
2026-03-19,Fayetteville,Noon - 4:30 PM,40,,LimeSurvey 136,
2026-03-20,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 136,
2026-03-23,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 142,
2026-03-23,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 142,
2026-03-24,Fayetteville,7:30 AM - Noon,50,,LimeSurvey 142,
2026-03-24,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 142,
2026-03-25,Fayetteville,7:30 AM - Noon,33,,LimeSurvey 142,
2026-03-25,Fayetteville,Noon - 4:30 PM,16,,LimeSurvey 142,
2026-03-26,Fayetteville,7:30 AM - Noon,8,,LimeSurvey 142,
2026-03-26,Fayetteville,Noon - 4:30 PM,8,,LimeSurvey 142,
2026-03-27,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 142,
2026-03-30,Fayetteville,7:30 AM - Noon,25,,LimeSurvey 144,
2026-03-30,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 144,
2026-03-31,Fayetteville,7:30 AM - Noon,21,,LimeSurvey 144,
2026-03-31,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 144,
2026-04-01,Fayetteville,7:30 AM - Noon,19,,LimeSurvey 144,
2026-04-01,Fayetteville,Noon - 4:30 PM,12,,LimeSurvey 144,
2026-04-02,Fayetteville,7:30 AM - Noon,11,,LimeSurvey 144,
2026-04-02,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 144,
2026-04-03,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 144,
2026-04-06,Fayetteville,7:30 AM - Noon,12,,LimeSurvey 148,
2026-04-06,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 148,
2026-04-07,Fayetteville,7:30 AM - Noon,17,,LimeSurvey 148,
2026-04-07,Fayetteville,Noon - 4:30 PM,19,,LimeSurvey 148,
2026-04-08,Fayetteville,7:30 AM - Noon,11,,LimeSurvey 148,
2026-04-08,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 148,
2026-04-09,Fayetteville,7:30 AM - Noon,5,,LimeSurvey 148,
2026-04-09,Fayetteville,Noon - 4:30 PM,16,,LimeSurvey 148,
2026-04-10,Fayetteville,7:30 AM - Noon,7,,LimeSurvey 148,
2026-04-13,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 152,
2026-04-13,Fayetteville,Noon - 4:30 PM,26,,LimeSurvey 152,
2026-04-14,Fayetteville,7:30 AM - Noon,17,,LimeSurvey 152,
2026-04-14,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 152,
2026-04-15,Fayetteville,7:30 AM - Noon,21,,LimeSurvey 152,
2026-04-15,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 152,
2026-04-16,Fayetteville,7:30 AM - Noon,3,,LimeSurvey 152,
2026-04-16,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 152,
2026-04-20,Fayetteville,7:30 AM - Noon,23,,LimeSurvey 154,
2026-04-20,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 154,
2026-04-21,Fayetteville,7:30 AM - Noon,16,,LimeSurvey 154,
2026-04-21,Fayetteville,Noon - 4:30 PM,22,,LimeSurvey 154,
2026-04-22,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 154,
2026-04-22,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 154,
2026-04-23,Fayetteville,Noon - 4:30 PM,30,,LimeSurvey 154,
2026-04-24,Fayetteville,Noon - 4:30 PM,17,,LimeSurvey 154,
2026-04-27,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 157,
2026-04-27,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 157,
2026-04-28,Fayetteville,7:30 AM - Noon,27,,LimeSurvey 157,
2026-04-28,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 157,
2026-04-29,Fayetteville,7:30 AM - Noon,16,,LimeSurvey 157,
2026-04-29,Fayetteville,Noon - 4:30 PM,28,,LimeSurvey 157,
2026-04-30,Fayetteville,7:30 AM - Noon,23,,LimeSurvey 157,
2026-04-30,Fayetteville,Noon - 4:30 PM,26,,LimeSurvey 157,
2026-05-01,Fayetteville,Noon - 4:30 PM,22,,LimeSurvey 157,
2026-05-04,Fayetteville,7:30 AM - Noon,21,,LimeSurvey 160,
2026-05-04,Fayetteville,Noon - 4:30 PM,12,,LimeSurvey 160,
2026-05-05,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 160,
2026-05-05,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 160,
2026-05-06,Fayetteville,7:30 AM - Noon,11,,LimeSurvey 160,
2026-05-06,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 160,
2026-05-07,Fayetteville,7:30 AM - Noon,17,,LimeSurvey 160,
2026-05-07,Fayetteville,Noon - 4:30 PM,19,,LimeSurvey 160,
2026-05-08,Fayetteville,7:30 AM - Noon,3,,LimeSurvey 160,
2026-05-08,Fayetteville,Noon - 4:30 PM,1,,LimeSurvey 160,
2026-05-11,Fayetteville,7:30 AM - Noon,5,,LimeSurvey 170,
2026-05-11,Fayetteville,Noon - 4:30 PM,4,,LimeSurvey 170,
2026-05-12,Fayetteville,7:30 AM - Noon,4,,LimeSurvey 170,
2026-05-12,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 170,
2026-05-13,Fayetteville,7:30 AM - Noon,3,,LimeSurvey 170,
